time,price,number
Sep 03 2015 01 0,21.242,390
Sep 04 2015 01 0,20.763,365
Sep 05 2015 01 0,20.181,439
Sep 06 2015 01 0,21.145,400
Sep 07 2015 01 0,20.325,319
Sep 08 2015 01 0,20.594,380
Sep 09 2015 01 0,21.915,315
Sep 10 2015 01 0,21.882,328
Sep 11 2015 01 0,21.352,394
Sep 12 2015 01 0,21.184,483
Sep 13 2015 01 0,20.824,428
Sep 14 2015 01 0,20.896,335
Sep 15 2015 01 0,21.706,284
Sep 16 2015 01 0,21.273,397
Sep 17 2015 01 0,21.874,359
Sep 18 2015 01 0,21.781,695
Sep 19 2015 01 0,24.56,663
Sep 20 2015 01 0,23.849,545
Sep 21 2015 01 0,22.939,460
Sep 22 2015 01 0,23.156,401
Sep 23 2015 01 0,22.221,411
Sep 24 2015 01 0,22.293,390
Sep 25 2015 01 0,22.022,436
Sep 26 2015 01 0,22.509,505
Sep 27 2015 01 0,21.928,467
Sep 28 2015 01 0,21.457,379
Sep 29 2015 01 0,21.622,381
Sep 30 2015 01 0,21,389
Oct 01 2015 01 0,21.871,359
Oct 02 2015 01 0,21.657,497
Oct 03 2015 01 0,21.42,478
Oct 04 2015 01 0,21.09,410
Oct 05 2015 01 0,20.943,379
Oct 06 2015 01 0,21.61,334
Oct 07 2015 01 0,21.845,313
Oct 08 2015 01 0,21.147,331
Oct 09 2015 01 0,21.015,393
Oct 10 2015 01 0,21.125,388
Oct 11 2015 01 0,21.123,436
Oct 12 2015 01 0,20.858,333
Oct 13 2015 01 0,20.788,310
Oct 14 2015 01 0,20.241,394
Oct 15 2015 01 0,19.875,383
Oct 16 2015 01 0,19.76,378
Oct 17 2015 01 0,19.881,468
Oct 18 2015 01 0,18.87,491
Oct 19 2015 01 0,18.884,340
Oct 20 2015 01 0,19.006,342
Oct 21 2015 01 0,18.348,409
Oct 22 2015 01 0,17.769,329
Oct 23 2015 01 0,17.888,451
Oct 24 2015 01 0,17.918,474
Oct 25 2015 01 0,17.781,426
Oct 26 2015 01 0,17.556,362
Oct 27 2015 01 0,17.737,329
Oct 28 2015 01 0,17.851,400
Oct 29 2015 01 0,17.374,446
Oct 30 2015 01 0,17.375,493
Oct 31 2015 01 0,17.572,543
Nov 01 2015 01 0,17.163,634
Nov 02 2015 01 0,16.987,466
Nov 03 2015 01 0,17.884,417
Nov 04 2015 01 0,18.018,409
Nov 05 2015 01 0,19.12,424
Nov 06 2015 01 0,19.323,425
Nov 07 2015 01 0,19.668,535
Nov 08 2015 01 0,19.389,407
Nov 09 2015 01 0,18.908,357
Nov 10 2015 01 0,18.453,347
Nov 11 2015 01 0,18.456,332
Nov 12 2015 01 0,18.373,351
Nov 13 2015 01 0,18.554,398
Nov 14 2015 01 0,18.661,464
Nov 15 2015 01 0,19.296,431
Nov 16 2015 01 0,18.937,351
Nov 17 2015 01 0,18.925,309
Nov 18 2015 01 0,18.957,340
Nov 19 2015 01 0,19.578,311
Nov 20 2015 01 0,19.435,365
Nov 21 2015 01 0,19.39,454
Nov 22 2015 01 0,19.563,366
Nov 23 2015 01 0,19.803,303
Nov 24 2015 01 0,19.66,352
Nov 25 2015 01 0,19.868,369
Nov 26 2015 01 0,17.982,459
Nov 27 2015 01 0,18.312,496
Nov 28 2015 01 0,18.217,536
Nov 29 2015 01 0,17.253,438
Nov 30 2015 01 0,17.323,391
Dec 01 2015 01 0,17.564,415
Dec 02 2015 01 0,19.695,323
Dec 03 2015 01 0,19.824,315
Dec 04 2015 01 0,19.647,424
Dec 05 2015 01 0,20.105,440
Dec 06 2015 01 0,20.351,447
Dec 07 2015 01 0,20.448,365
Dec 08 2015 01 0,20.186,327
Dec 09 2015 01 0,20.829,650
Dec 10 2015 01 0,22.254,457
Dec 11 2015 01 0,22.889,445
Dec 12 2015 01 0,21.863,534
Dec 13 2015 01 0,21.694,408
Dec 14 2015 01 0,21.341,381
Dec 15 2015 01 0,21.736,336
Dec 16 2015 01 0,20.841,341
Dec 17 2015 01 0,20.096,308
Dec 18 2015 01 0,19.681,336
Dec 19 2015 01 0,19.843,421
Dec 20 2015 01 0,19.459,378
Dec 21 2015 01 0,19.208,337
Dec 22 2015 01 0,18.602,400
Dec 23 2015 01 0,17.365,505
Dec 24 2015 01 0,17.048,519
Dec 25 2015 01 0,18.416,424
Dec 26 2015 01 0,18.738,450
Dec 27 2015 01 0,18.521,509
Dec 28 2015 01 0,18.912,487
Dec 29 2015 01 0,18.25,467
Dec 30 2015 01 0,17.795,490
Dec 31 2015 01 0,18.137,431
Jan 01 2016 01 0,17.883,418
Jan 02 2016 01 0,17.75,458
Jan 03 2016 01 0,17.156,437
Jan 04 2016 01 0,16.778,431
Jan 05 2016 01 0,18.318,328
Jan 06 2016 01 0,18.306,341
Jan 07 2016 01 0,19.058,329
Jan 08 2016 01 0,19.281,334
Jan 09 2016 01 0,19.699,378
Jan 10 2016 01 0,20.041,329
Jan 11 2016 01 0,19.247,310
Jan 12 2016 01 0,19.171,286
Jan 13 2016 01 0,19.52,288
Jan 14 2016 01 0,19.483,315
Jan 15 2016 01 0,19.304,365
Jan 16 2016 01 0,19.582,412
Jan 17 2016 01 0,19.293,329
Jan 18 2016 01 0,19.564,289
Jan 19 2016 01 0,19.419,243
Jan 20 2016 01 0,18.779,307
Jan 21 2016 01 0,19.255,285
Jan 22 2016 01 0,19.44,290
Jan 23 2016 01 0,19.346,340
Jan 24 2016 01 0,18.952,322
Jan 25 2016 01 0,18.709,292
Jan 26 2016 01 0,19.644,314
Jan 27 2016 01 0,19.699,311
Jan 28 2016 01 0,19.854,298
Jan 29 2016 01 0,19.446,286
Jan 30 2016 01 0,19.088,355
Jan 31 2016 01 0,19.081,345
Feb 01 2016 01 0,19.062,291
Feb 02 2016 01 0,19.173,275
Feb 03 2016 01 0,19.065,264
Feb 04 2016 01 0,18.765,268
Feb 05 2016 01 0,19.54,278
Feb 06 2016 01 0,17.941,383
Feb 07 2016 01 0,16.442,355
Feb 08 2016 01 0,16.62,312
Feb 09 2016 01 0,16.868,306
Feb 10 2016 01 0,16.547,308
Feb 11 2016 01 0,16.191,270
Feb 12 2016 01 0,17.004,342
Feb 13 2016 01 0,18.649,333
Feb 14 2016 01 0,17.967,296
Feb 15 2016 01 0,18.122,291
Feb 16 2016 01 0,17.986,320
Feb 17 2016 01 0,18.105,310
Feb 18 2016 01 0,16.736,712
Feb 19 2016 01 0,17.979,412
Feb 20 2016 01 0,17.765,470
Feb 21 2016 01 0,17.171,434
Feb 22 2016 01 0,17.175,382
Feb 23 2016 01 0,18.191,354
Feb 24 2016 01 0,18.36,367
Feb 25 2016 01 0,17.724,364
Feb 26 2016 01 0,17.052,421
Feb 27 2016 01 0,17.238,461
Feb 28 2016 01 0,17.277,346
Feb 29 2016 01 0,16.584,375
Mar 01 2016 01 0,16.83,346
Mar 02 2016 01 0,17.541,310
